Event	Score
0	10.668917479344842
1	10.266847433171542
2	12.178121386922125
3	11.888632894001633
4	12.213397410285582
5	9.575106023482048
6	12.921849719546158
7	12.126541053597917
8	12.433499140460926
9	9.358296927737088
10	12.894026925853755
11	9.407875529252237
12	10.74771268531388
13	12.223869001191721
14	10.183389087503251
15	10.104207075726038
16	11.611345082828564
17	10.054474228854028
18	12.743580286228516
19	12.608454694558372
20	10.676349523188003
21	13.245349877381736
22	11.004934865553166
23	13.204458859747607
24	9.348590146888574
25	12.128131240597707
26	11.895532727730652
27	9.251986844058942
28	11.199873575088759
29	13.429683629895607
30	10.0478967096808
31	9.150144072073617
32	9.029908116043384
33	12.288605408317808
34	9.62119891901846
35	12.736641391417535
36	9.774731204109795
37	9.621283277610683
38	10.042234044852647
39	10.912963759647617
40	11.83608005605608
41	11.21588291119184
42	10.435575782619633
43	13.245948693643806
44	9.59385221812047
45	13.376454279060294
46	12.484924269558709
47	10.343918902400038
48	9.339909565187565
49	12.318476231007061
50	11.334064989500153
51	12.62426049951044
52	9.95469133160682
53	10.067823827375298
54	11.906697982662816
55	9.982163487016198
56	11.492534986496874
57	9.798152664946432
58	12.878867996291262
59	8.930292286098798
60	10.302572435600492
61	11.899186540798382
62	12.67228016948329
63	12.557453793518048
64	11.006267464196599
65	12.38034610901685
66	10.433767165915619
67	11.501384803264324
68	9.962836147911283
69	12.50005389316432
70	9.55576644253811
71	9.538723494670826
72	11.41331909573526
73	11.502143850453187
74	12.581820137876086
75	10.504904846969884
76	12.581820137876086
77	12.753733223044746
78	11.917193393909104
79	9.980135127501491
80	11.785087296304898
81	12.888146261718003
82	12.195945301837483
83	10.929379349345812
84	11.061813572388738
85	10.884970688819529
86	9.330552358647981
87	11.976380542078736
88	12.044815387077838
89	12.9112093892862
90	12.15186429593586
91	10.513768474778873
92	9.77657148830096
93	11.733597690769498
94	10.394869169784462
95	9.10478296367908
96	13.710549251844185
97	10.203530709574613
98	10.145395420053855
99	9.916842726135403
100	11.867758817545688
101	12.694503956702203
102	11.864724626284351
103	12.511237394952726
104	11.969671748890088
105	11.241125018098675
106	10.6091465347483
107	12.11471053813642
108	9.763911120258085
109	13.16394997736307
110	11.784493421437881
111	10.110612839531136
112	9.723513964704729
113	12.176846706535825
114	9.902307986040018
115	12.002883073896104
116	11.74105031349962
117	12.061936511772181
118	11.906375751710982
119	13.051639693346193
120	12.35598140489103
121	12.977530294262866
122	12.982230220535168
123	12.945911388013897
124	11.888575089673257
125	11.652462917736557
126	9.747078607029673
127	12.675295088159574
128	9.607478992800665
129	12.938137314843733
130	12.536757382552324
131	9.626127675295365
132	13.50588539496194
133	10.914540388272812
134	12.159246149959534
135	13.018184087470479
136	12.40319646850367
137	11.074980899071429
138	10.215736007921171
139	11.350734969711695
140	10.224661000187767
141	10.220804831897311
142	12.721424143561224
143	12.19135308654244
144	10.561240080808172
145	12.374493173259973
146	12.349740350770169
147	11.373378085828227
148	12.185115503685187
149	11.822363362387327
150	12.14074503047993
151	9.9736935514901
152	11.92249501642962
153	10.539188059974661
154	11.677873149204935
155	9.314314829011838
156	9.656599762480568
157	9.869683606535386
158	12.567364493898639
159	10.46751471212291
160	10.155073151414518
161	9.996811582502822
162	11.85885014708589
163	12.264118174667676
164	11.627886695728623
165	12.578744257427847
166	12.56193436951876
167	12.76076145541776
168	12.516052457092462
169	9.949299378615194
170	13.578891243213704
171	9.223671211793945
172	10.00957345229823
173	9.71170211372882
174	12.256601549745113
175	12.051941835655454
176	12.790905197415098
177	9.400994446682201
178	12.10503849642544
179	10.230208027857808
