Event	Purity
0	0.49945869871170295
1	0.49945869871170295
2	0.49945869871170295
3	0.49945869871170295
4	0.49945869871170295
5	0.015037593984962405
6	0.49945869871170295
7	0.49945869871170295
8	0.49945869871170295
9	0.49945869871170295
10	0.49945869871170295
11	0.49945869871170295
12	0.49945869871170295
13	0.49945869871170295
14	0.49945869871170295
15	0.49945869871170295
16	0.49945869871170295
17	0.49945869871170295
18	0.9632352941176471
19	0.49945869871170295
20	0.49945869871170295
21	0.49945869871170295
22	0.9259259259259259
23	0.49945869871170295
24	0.49945869871170295
25	0.49945869871170295
26	0.49945869871170295
27	0.49945869871170295
28	0.49945869871170295
29	0.49945869871170295
30	0.49945869871170295
31	0.49945869871170295
32	0.49945869871170295
33	0.49945869871170295
34	0.49945869871170295
35	0.49945869871170295
36	0.49945869871170295
37	0.49945869871170295
38	0.49945869871170295
39	0.49945869871170295
40	0.49945869871170295
41	0.49945869871170295
42	0.49945869871170295
43	0.49945869871170295
44	0.49945869871170295
45	1
46	0.49945869871170295
47	0.49945869871170295
48	0.49945869871170295
49	0.9632352941176471
50	0.49945869871170295
51	0.49945869871170295
52	0.49945869871170295
53	0.49945869871170295
54	0.49945869871170295
55	0.49945869871170295
56	0.49945869871170295
57	0.49945869871170295
58	0.49945869871170295
59	0
60	0.49945869871170295
61	0.49945869871170295
62	0.49945869871170295
63	0.49945869871170295
64	0.49945869871170295
65	0.49945869871170295
66	0.49945869871170295
67	0.49945869871170295
68	0.49945869871170295
69	0.49945869871170295
70	0.49945869871170295
71	0.49945869871170295
72	1
73	0.49945869871170295
74	1
75	0.49945869871170295
76	1
77	0.49945869871170295
78	0.49945869871170295
79	0.49945869871170295
80	0.49945869871170295
81	0.49945869871170295
82	0.49945869871170295
83	0.49945869871170295
84	0.49945869871170295
85	0.49945869871170295
86	0.49945869871170295
87	0.49945869871170295
88	0.49945869871170295
89	0.49945869871170295
90	0.49945869871170295
91	0.49945869871170295
92	0.49945869871170295
93	0.49945869871170295
94	0.49945869871170295
95	0.49945869871170295
96	0.49945869871170295
97	0.03409090909090909
98	0.08108108108108109
99	0.49945869871170295
100	0.49945869871170295
101	0.49945869871170295
102	0.49945869871170295
103	0.49945869871170295
104	1
105	0.49945869871170295
106	0.49945869871170295
107	0.49945869871170295
108	0.49945869871170295
109	0.49945869871170295
110	0.49945869871170295
111	0.49945869871170295
112	0.49945869871170295
113	0.49945869871170295
114	0.49945869871170295
115	0.49945869871170295
116	0.49945869871170295
117	0.49945869871170295
118	0.49945869871170295
119	0.49945869871170295
120	0.49945869871170295
121	0.49945869871170295
122	0.49945869871170295
123	0.49945869871170295
124	1
125	0.49945869871170295
126	0.49945869871170295
127	0.49945869871170295
128	0.49945869871170295
129	0.49945869871170295
130	0.49945869871170295
131	0.49945869871170295
132	0.49945869871170295
133	0.49945869871170295
134	0.49945869871170295
135	0.49945869871170295
136	0.49945869871170295
137	0.49945869871170295
138	0.49945869871170295
139	0.49945869871170295
140	0.49945869871170295
141	0.49945869871170295
142	1
143	0.49945869871170295
144	0.49945869871170295
145	0.49945869871170295
146	0.49945869871170295
147	0.49945869871170295
148	0.49945869871170295
149	0.49945869871170295
150	0.49945869871170295
151	0.49945869871170295
152	0.49945869871170295
153	0.49945869871170295
154	0.49945869871170295
155	0.49945869871170295
156	0.49945869871170295
157	0.49945869871170295
158	0.49945869871170295
159	0.49945869871170295
160	0.49945869871170295
161	0.49945869871170295
162	0.49945869871170295
163	0.49945869871170295
164	0.49945869871170295
165	0.49945869871170295
166	0.49945869871170295
167	0.49945869871170295
168	0.49945869871170295
169	0.49945869871170295
170	0.49945869871170295
171	0.49945869871170295
172	0.49945869871170295
173	0.49945869871170295
174	0.49945869871170295
175	0.49945869871170295
176	0.49945869871170295
177	0.49945869871170295
178	0.49945869871170295
