Event	Score
0	4.327201940254207
1	4.213283630246559
2	5.193762444013421
3	5.214570594090223
4	4.591682243910503
5	4.67619695344804
6	5.106321687594544
7	5.732193002716589
8	5.740690111217093
9	3.765467693427574
10	4.755349006273643
11	4.1681492176607575
12	4.78616136526381
13	5.862277186917698
14	4.326705257567116
15	4.768190574795994
16	6.093426174663699
17	3.7711440746019207
18	6.242050118771663
19	5.228799512811112
20	4.041806126762272
21	5.905795702461968
22	4.904765153037589
23	5.772761566496866
24	3.379333198140872
25	5.176979669985794
26	5.634353221516411
27	3.694878996693955
28	4.285107571528923
29	5.389269557385466
30	3.722243637130613
31	3.1631939530045816
32	4.050047073749225
33	5.361235772515458
34	3.674904528079831
35	5.439129831087108
36	4.184541647381862
37	3.5141124437470843
38	4.29786822461814
39	3.99947846319123
40	5.0986034333139205
41	5.08947628975287
42	4.175253371766935
43	5.071997123146544
44	2.9117176231108464
45	6.291935452169561
46	4.4863945406545085
47	4.207950751620696
48	3.937234739881416
49	5.863945317733373
50	3.9486917730917135
51	5.423414823097148
52	4.837531784168449
53	3.478747699478686
54	5.373388802495825
55	3.674904528079831
56	5.544986086993392
57	3.636749136617383
58	5.1552820216103346
59	3.012996085041394
60	4.798886212738594
61	5.528375209933497
62	5.2360594214761385
63	6.131858220851417
64	4.291854883569105
65	5.570626166919559
66	4.153100325546909
67	5.416310668990971
68	4.837531784168449
69	6.175251710337397
70	4.112003232080864
71	4.205432214096353
72	6.925830943585129
73	5.227005690587117
74	6.289703068881805
75	3.6478395023611347
76	6.289703068881805
77	6.450259092101379
78	5.905795702461968
79	5.052162004089068
80	6.536435320100644
81	6.499780527668185
82	6.585335757571951
83	5.222708285495699
84	4.2374904270332125
85	3.5264006495888296
86	3.164726403011744
87	5.279769180824824
88	5.275049749685683
89	5.82944015479328
90	5.255946088449534
91	3.639980498475225
92	2.5939907180417574
93	4.644054807489006
94	4.238865893080377
95	3.2463917089680576
96	5.1550875287250575
97	3.515714456589633
98	3.6141824498889537
99	4.984965767335175
100	4.963329814957529
